204232,None,GER,Gold,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon,2006 Winter,2006,Winter,Torino
204246,None,USA,Silver,Tug-Of-War Men's Tug-Of-War,Tug-Of-War,1904 Summer,1904,Summer,St. Louis
204248,None,CAN,Bronze,Football Women's Football,Football,2016 Summer,2016,Summer,Rio de Janeiro
204264,None,GBR,Gold,Golf Men's Individual,Golf,2016 Summer,2016,Summer,Rio de Janeiro
204267,None,AUS,Gold,Swimming Men's 400 metres Freestyle,Swimming,1956 Summer,1956,Summer,Melbourne
204268,None,AUS,Gold,Swimming Men's 1500 metres Freestyle,Swimming,1956 Summer,1956,Summer,Melbourne
204269,None,AUS,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1956 Summer,1956,Summer,Melbourne
204270,None,AUS,Gold,Swimming Men's 400 metres Freestyle,Swimming,1960 Summer,1960,Summer,Roma
204271,None,AUS,Silver,Swimming Men's 1500 metres Freestyle,Swimming,1960 Summer,1960,Summer,Roma
204272,None,AUS,Bronze,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1960 Summer,1960,Summer,Roma
204275,None,USA,Gold,Athletics Men's Shot Put,Athletics,1904 Summer,1904,Summer,St. Louis
204277,None,USA,Silver,Athletics Men's Discus Throw,Athletics,1904 Summer,1904,Summer,St. Louis
204278,None,USA,Bronze,Athletics Men's Hammer Throw,Athletics,1904 Summer,1904,Summer,St. Louis
204280,None,USA,Gold,Athletics Men's Shot Put,Athletics,1908 Summer,1908,Summer,London
204281,None,USA,Silver,Athletics Men's Shot Put,Athletics,1912 Summer,1912,Summer,Stockholm
204282,None,USA,Gold,Athletics Men's Shot Put Both Hands,Athletics,1912 Summer,1912,Summer,Stockholm
204286,None,AUS,Silver,Equestrianism Mixed Three-Day Event Team,Equestrianism,2008 Summer,2008,Summer,Beijing
204288,None,AUS,Bronze,Equestrianism Mixed Three-Day Event Team,Equestrianism,2016 Summer,2016,Summer,Rio de Janeiro
204290,None,GDR,Gold,Rowing Women's Coxed Fours,Rowing,1988 Summer,1988,Summer,Seoul
204294,None,BRA,Silver,Basketball Women's Basketball,Basketball,1996 Summer,1996,Summer,Atlanta
204297,None,BRA,Silver,Football Women's Football,Football,2004 Summer,2004,Summer,Athina
204300,None,SWE,Gold,Shooting Men's Running Target Single Shot Team,Shooting,1908 Summer,1908,Summer,London
204305,None,ITA,Gold,Gymnastics Men's Team All-Around,Gymnastics,1920 Summer,1920,Summer,Antwerpen
204314,None,URU,Bronze,Basketball Men's Basketball,Basketball,1952 Summer,1952,Summer,Helsinki
204328,None,SWE,Gold,Football Men's Football,Football,1948 Summer,1948,Summer,London
204329,None,SWE,Gold,Gymnastics Men's Team All-Around,Gymnastics,1908 Summer,1908,Summer,London
204330,None,SWE,Gold,Gymnastics Men's Team All-Around Swedish System,Gymnastics,1912 Summer,1912,Summer,Stockholm
204332,None,GER,Bronze,Fencing Men's Foil Team,Fencing,1936 Summer,1936,Summer,Berlin
204335,None,GER,Bronze,Hockey Men's Hockey,Hockey,1956 Summer,1956,Summer,Melbourne
204336,None,BOH,Bronze,Tennis Women's Singles,Tennis,1900 Summer,1900,Summer,Paris
204337,None,BOH,Bronze,Tennis Mixed Doubles,Tennis,1900 Summer,1900,Summer,Paris
204340,None,GER,Silver,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1912 Summer,1912,Summer,Stockholm
204344,None,SWE,Gold,Equestrianism Men's Jumping Team,Equestrianism,1912 Summer,1912,Summer,Stockholm
204353,None,FRG,Gold,Athletics Women's 4 x 100 metres Relay,Athletics,1972 Summer,1972,Summer,Munich
204354,None,FRG,Gold,Athletics Women's Long Jump,Athletics,1972 Summer,1972,Summer,Munich
204355,None,FRG,Silver,Athletics Women's Pentathlon,Athletics,1972 Summer,1972,Summer,Munich
204363,None,CAN,Silver,Athletics Women's 100 metres,Athletics,1928 Summer,1928,Summer,Amsterdam
204365,None,CAN,Gold,Athletics Women's 4 x 100 metres Relay,Athletics,1928 Summer,1928,Summer,Amsterdam
204369,None,SWE,Gold,Football Men's Football,Football,1948 Summer,1948,Summer,London
204375,None,USA,Silver,Gymnastics Men's Team All-Around,Gymnastics,1904 Summer,1904,Summer,St. Louis
204388,None,SWE,Gold,Gymnastics Men's Team All-Around,Gymnastics,1908 Summer,1908,Summer,London
204389,None,FIN,Silver,Wrestling Men's Light-Heavyweight Greco-Roman,Wrestling,1920 Summer,1920,Summer,Antwerpen
204390,None,FIN,Silver,Wrestling Men's Heavyweight Greco-Roman,Wrestling,1924 Summer,1924,Summer,Paris
204393,None,FIN,Bronze,Shooting Men's Running Target Single Shot Team,Shooting,1912 Summer,1912,Summer,Stockholm
204394,None,SWE,Bronze,Canoeing Women's Kayak Fours 500 metres,Canoeing,1992 Summer,1992,Summer,Barcelona
204395,None,SWE,Bronze,Canoeing Women's Kayak Fours 500 metres,Canoeing,1996 Summer,1996,Summer,Atlanta
204399,None,SWE,Gold,Sailing Mixed 10 metres,Sailing,1912 Summer,1912,Summer,Stockholm
204407,None,ITA,Bronze,Football Men's Football,Football,1928 Summer,1928,Summer,Amsterdam
204411,None,URS,Silver,Wrestling Men's Heavyweight Greco-Roman,Wrestling,1964 Summer,1964,Summer,Tokyo
204412,None,URS,Silver,Wrestling Men's Heavyweight Greco-Roman,Wrestling,1968 Summer,1968,Summer,Mexico City
204413,None,URS,Gold,Wrestling Men's Super-Heavyweight Greco-Roman,Wrestling,1972 Summer,1972,Summer,Munich
204415,None,URS,Silver,Rowing Women's Coxed Eights,Rowing,1976 Summer,1976,Summer,Montreal
204416,None,URS,Silver,Volleyball Women's Volleyball,Volleyball,1964 Summer,1964,Summer,Tokyo
204428,None,YUG,Silver,Water Polo Men's Water Polo,Water Polo,1964 Summer,1964,Summer,Tokyo
204440,None,NED,Gold,Rowing Men's Coxless Pairs,Rowing,1924 Summer,1924,Summer,Paris
204448,None,GER,Silver,Table Tennis Men's Doubles,Table Tennis,1992 Summer,1992,Summer,Barcelona
204449,None,GER,Bronze,Table Tennis Men's Singles,Table Tennis,1996 Summer,1996,Summer,Atlanta
204468,None,SWE,Silver,Sailing Mixed Three Person Keelboat,Sailing,1972 Summer,1972,Summer,Munich
204472,None,DEN,Gold,Handball Women's Handball,Handball,2000 Summer,2000,Summer,Sydney
204482,None,TCH,Bronze,Ice Hockey Men's Ice Hockey,Ice Hockey,1992 Winter,1992,Winter,Albertville
204487,None,ITA,Bronze,Swimming Men's 200 metres Freestyle,Swimming,2000 Summer,2000,Summer,Sydney
204488,None,ITA,Silver,Swimming Men's 400 metres Freestyle,Swimming,2000 Summer,2000,Summer,Sydney
204491,None,ITA,Gold,Swimming Men's 200 metres Individual Medley,Swimming,2000 Summer,2000,Summer,Sydney
204493,None,ITA,Bronze,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,2004 Summer,2004,Summer,Athina
204507,None,USA,Silver,Beach Volleyball Women's Beach Volleyball,Beach Volleyball,2012 Summer,2012,Summer,London
204508,None,USA,Bronze,Beach Volleyball Women's Beach Volleyball,Beach Volleyball,2016 Summer,2016,Summer,Rio de Janeiro
204510,None,CAN,Bronze,Rowing Men's Coxed Eights,Rowing,1928 Summer,1928,Summer,Amsterdam
204523,None,GBR,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1912 Summer,1912,Summer,Stockholm
204533,None,USA,Gold,Gymnastics Women's Team All-Around,Gymnastics,2012 Summer,2012,Summer,London
204550,None,USA,Gold,Swimming Men's 400 metres Freestyle,Swimming,1920 Summer,1920,Summer,Antwerpen
204551,None,USA,Gold,Swimming Men's 1500 metres Freestyle,Swimming,1920 Summer,1920,Summer,Antwerpen
204552,None,USA,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1920 Summer,1920,Summer,Antwerpen
204563,None,USA,Silver,Lacrosse Men's Lacrosse,Lacrosse,1904 Summer,1904,Summer,St. Louis
204564,None,USA,Bronze,Ice Hockey Men's Ice Hockey,Ice Hockey,1936 Winter,1936,Winter,Garmisch-Partenkirchen
204599,None,SUI,Gold,Tennis Men's Singles,Tennis,1992 Summer,1992,Summer,Barcelona
204604,None,ITA,Bronze,Shooting Mixed Skeet,Shooting,1992 Summer,1992,Summer,Barcelona
204606,None,ITA,Gold,Shooting Men's Skeet,Shooting,2016 Summer,2016,Summer,Rio de Janeiro
204607,None,ITA,Bronze,Football Men's Football,Football,1928 Summer,1928,Summer,Amsterdam
204609,None,USA,Bronze,Rowing Men's Coxed Fours,Rowing,1952 Summer,1952,Summer,Helsinki
204610,None,ITA,Bronze,Canoeing Men's Kayak Doubles 500 metres,Canoeing,1992 Summer,1992,Summer,Barcelona
204611,None,ITA,Gold,Canoeing Men's Kayak Singles 500 metres,Canoeing,1996 Summer,1996,Summer,Atlanta
204612,None,ITA,Gold,Canoeing Men's Kayak Doubles 1000 metres,Canoeing,1996 Summer,1996,Summer,Atlanta
204614,None,ITA,Gold,Canoeing Men's Kayak Doubles 1000 metres,Canoeing,2000 Summer,2000,Summer,Sydney
204616,None,ITA,Silver,Canoeing Men's Kayak Doubles 1000 metres,Canoeing,2004 Summer,2004,Summer,Athina
204622,None,ITA,Bronze,Rowing Men's Coxless Fours,Rowing,1928 Summer,1928,Summer,Amsterdam
204626,None,ITA,Gold,Water Polo Men's Water Polo,Water Polo,1960 Summer,1960,Summer,Roma
204628,None,ITA,Bronze,Rowing Men's 17-Man Naval Rowing Boats,Rowing,1906 Summer,1906,Summer,Athina
204639,None,ITA,Silver,Boxing Men's Light-Heavyweight,Boxing,1932 Summer,1932,Summer,Los Angeles
204646,None,ITA,Gold,Shooting Women's Trap,Shooting,2012 Summer,2012,Summer,London
204653,None,ARG,Gold,Hockey Men's Hockey,Hockey,2016 Summer,2016,Summer,Rio de Janeiro
204654,None,ARG,Bronze,Hockey Women's Hockey,Hockey,2008 Summer,2008,Summer,Beijing
204677,None,ITA,Gold,Shooting Men's Trap,Shooting,1956 Summer,1956,Summer,Melbourne
204678,None,ITA,Silver,Shooting Men's Trap,Shooting,1960 Summer,1960,Summer,Roma
204683,None,ITA,Silver,Volleyball Men's Volleyball,Volleyball,2016 Summer,2016,Summer,Rio de Janeiro
204700,None,GER,Gold,Cycling Women's Individual Pursuit 3000 metres,Cycling,1992 Summer,1992,Summer,Barcelona
204713,None,GDR,Silver,Handball Women's Handball,Handball,1976 Summer,1976,Summer,Montreal
204714,None,GDR,Bronze,Handball Women's Handball,Handball,1980 Summer,1980,Summer,Moskva
204716,None,GER,Silver,Wrestling Men's Lightweight Freestyle,Wrestling,1964 Summer,1964,Summer,Tokyo
204722,None,GDR,Gold,Handball Men's Handball,Handball,1980 Summer,1980,Summer,Moskva
204727,None,IRI,Bronze,Weightlifting Men's Light-Heavyweight,Weightlifting,2012 Summer,2012,Summer,London
204728,None,IRI,Gold,Weightlifting Men's Light-Heavyweight,Weightlifting,2016 Summer,2016,Summer,Rio de Janeiro
204731,None,GER,Gold,Gymnastics Men's Parallel Bars Teams,Gymnastics,1896 Summer,1896,Summer,Athina
204733,None,GER,Gold,Gymnastics Men's Horizontal Bar Teams,Gymnastics,1896 Summer,1896,Summer,Athina
204742,None,GDR,Gold,Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing,1980 Winter,1980,Winter,Lake Placid
204752,None,URS,Silver,Volleyball Women's Volleyball,Volleyball,1976 Summer,1976,Summer,Montreal
204758,None,RUS,Silver,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon,2006 Winter,2006,Winter,Torino
204762,None,ROU,Gold,Gymnastics Women's Team All-Around,Gymnastics,2004 Summer,2004,Summer,Athina
204764,None,ROU,Gold,Gymnastics Women's Horse Vault,Gymnastics,2004 Summer,2004,Summer,Athina
204766,None,SWE,Silver,Rowing Men's Coxed Fours Inriggers,Rowing,1912 Summer,1912,Summer,Stockholm
204776,None,ITA,Gold,Fencing Men's epee Team,Fencing,2000 Summer,2000,Summer,Sydney
204779,None,ITA,Bronze,Fencing Men's epee Team,Fencing,2008 Summer,2008,Summer,Beijing
204800,None,ROU,Bronze,Shooting Mixed Small-Bore Rifle Prone 50 metres,Shooting,1972 Summer,1972,Summer,Munich
204819,None,USA,Gold,Swimming Men's 400 metres Individual Medley,Swimming,1964 Summer,1964,Summer,Tokyo
204823,None,USA,Gold,Gymnastics Men's Club Swinging,Gymnastics,1932 Summer,1932,Summer,Los Angeles
204828,None,FRG,Silver,Hockey Women's Hockey,Hockey,1984 Summer,1984,Summer,Los Angeles
204833,None,FRG,Silver,Handball Men's Handball,Handball,1984 Summer,1984,Summer,Los Angeles
204840,None,SUI,Gold,Wrestling Men's Heavyweight Freestyle,Wrestling,1920 Summer,1920,Summer,Antwerpen
204841,None,FRG,Silver,Handball Men's Handball,Handball,1984 Summer,1984,Summer,Los Angeles
204850,None,GER,Silver,Equestrianism Men's Three-Day Event Team,Equestrianism,1952 Summer,1952,Summer,Helsinki
204852,None,GER,Silver,Equestrianism Men's Three-Day Event Team,Equestrianism,1956 Summer,1956,Summer,Stockholm
204857,None,GER,Gold,Equestrianism Mixed Dressage Team,Equestrianism,2016 Summer,2016,Summer,Rio de Janeiro
204858,None,NED,Bronze,Equestrianism Mixed Dressage Individual,Equestrianism,1996 Summer,1996,Summer,Atlanta
204859,None,NED,Silver,Equestrianism Mixed Dressage Team,Equestrianism,1996 Summer,1996,Summer,Atlanta
204863,None,NED,Silver,Equestrianism Mixed Dressage Team,Equestrianism,1996 Summer,1996,Summer,Atlanta
204868,None,GDR,Gold,Speed Skating Women's 500 metres,Speed Skating,1984 Winter,1984,Winter,Sarajevo
204870,None,GDR,Silver,Speed Skating Women's 500 metres,Speed Skating,1988 Winter,1988,Winter,Calgary
204871,None,GDR,Gold,Speed Skating Women's 1000 metres,Speed Skating,1988 Winter,1988,Winter,Calgary
204872,None,GDR,Silver,Cycling Women's Sprint,Cycling,1988 Summer,1988,Summer,Seoul
204873,None,GER,Bronze,Speed Skating Women's 500 metres,Speed Skating,1992 Winter,1992,Winter,Albertville
204877,None,GDR,Bronze,Handball Women's Handball,Handball,1980 Summer,1980,Summer,Moskva
204878,None,GBR,Silver,Polo Men's Polo,Polo,1908 Summer,1908,Summer,London
204879,None,HUN,Silver,Football Men's Football,Football,1972 Summer,1972,Summer,Munich
204881,None,USA,Silver,Athletics Men's Shot Put,Athletics,1932 Summer,1932,Summer,Los Angeles
204884,None,USA,Bronze,Swimming Women's 200 metres Freestyle,Swimming,1972 Summer,1972,Summer,Munich
204886,None,USA,Gold,Swimming Women's 800 metres Freestyle,Swimming,1972 Summer,1972,Summer,Munich
204896,None,SUI,Bronze,Judo Men's Half-Heavyweight,Judo,1976 Summer,1976,Summer,Montreal
204897,None,SUI,Gold,Judo Men's Middleweight,Judo,1980 Summer,1980,Summer,Moskva
204898,None,SUI,Silver,Curling Women's Curling,Curling,2002 Winter,2002,Winter,Salt Lake City
204903,None,USA,Silver,Shooting Men's Small-Bore Rifle Standing 50 metres,Shooting,1920 Summer,1920,Summer,Antwerpen
204904,None,USA,Gold,Shooting Men's Small Bore-Rifle Standing 50 metres Team,Shooting,1920 Summer,1920,Summer,Antwerpen
204910,None,USA,Silver,Sailing Mixed Multihull,Sailing,1976 Summer,1976,Summer,Montreal
204922,None,ROU,Gold,Canoeing Men's Canadian Singles 1000 metres,Canoeing,1956 Summer,1956,Summer,Melbourne
204923,None,ROU,Gold,Canoeing Men's Canadian Singles 10000 metres,Canoeing,1956 Summer,1956,Summer,Melbourne
204924,None,ROU,Bronze,Canoeing Men's Canadian Singles 1000 metres,Canoeing,1960 Summer,1960,Summer,Roma
204927,None,TCH,Gold,Football Men's Football,Football,1980 Summer,1980,Summer,Moskva
204929,None,FRG,Gold,Hockey Men's Hockey,Hockey,1972 Summer,1972,Summer,Munich
204932,None,GER,Bronze,Football Women's Football,Football,2000 Summer,2000,Summer,Sydney
204933,None,GER,Bronze,Football Women's Football,Football,2004 Summer,2004,Summer,Athina
204939,None,HUN,Bronze,Figure Skating Mixed Pairs,Figure Skating,1932 Winter,1932,Winter,Lake Placid
204940,None,HUN,Bronze,Figure Skating Mixed Pairs,Figure Skating,1936 Winter,1936,Winter,Garmisch-Partenkirchen
204979,None,GRE,Bronze,Athletics Men's Pole Vault,Athletics,1956 Summer,1956,Summer,Melbourne
204991,None,FRA,Bronze,Cycling Men's Road Race Team,Cycling,1952 Summer,1952,Summer,Helsinki
204994,None,FRA,Bronze,Cycling Men's Road Race Team,Cycling,1948 Summer,1948,Summer,London
204995,None,DEN,Gold,Sailing Women's One Person Dinghy,Sailing,1996 Summer,1996,Summer,Atlanta
205001,None,CAN,Gold,Ice Hockey Women's Ice Hockey,Ice Hockey,2014 Winter,2014,Winter,Sochi
205005,None,GBR,Silver,Rowing Men's Coxed Fours Outriggers,Rowing,1912 Summer,1912,Summer,Stockholm
205020,None,NZL,Silver,Cycling Men's Individual Pursuit 4000 metres,Cycling,2008 Summer,2008,Summer,Beijing
205021,None,NZL,Bronze,Cycling Men's Team Pursuit 4000 metres,Cycling,2008 Summer,2008,Summer,Beijing
205030,None,GRE,Silver,Water Polo Women's Water Polo,Water Polo,2004 Summer,2004,Summer,Athina
205042,None,USA,Silver,Swimming Men's 100 metres Backstroke,Swimming,1992 Summer,1992,Summer,Barcelona
205043,None,USA,Gold,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1992 Summer,1992,Summer,Barcelona
205044,None,USA,Gold,Swimming Men's 100 metres Backstroke,Swimming,1996 Summer,1996,Summer,Atlanta
205045,None,USA,Gold,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1996 Summer,1996,Summer,Atlanta
205047,None,USA,Gold,Athletics Men's 4 x 400 metres Relay,Athletics,1996 Summer,1996,Summer,Atlanta
205049,None,USA,Bronze,Judo Women's Middleweight,Judo,2008 Summer,2008,Summer,Beijing
205062,None,CAN,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1960 Winter,1960,Winter,Squaw Valley
205066,None,FRA,Gold,Cycling Men's 1000 metres Time Trial,Cycling,1996 Summer,1996,Summer,Atlanta
205067,None,FRA,Silver,Cycling Men's Sprint,Cycling,2000 Summer,2000,Summer,Sydney
205068,None,FRA,Gold,Cycling Men's Keirin,Cycling,2000 Summer,2000,Summer,Sydney
205069,None,FRA,Gold,Cycling Men's Team Sprint,Cycling,2000 Summer,2000,Summer,Sydney
205082,None,FRA,Gold,Cycling Men's Sprint,Cycling,1956 Summer,1956,Summer,Melbourne
205131,None,NED,Bronze,Rowing Men's Coxed Pairs,Rowing,1964 Summer,1964,Summer,Tokyo
205138,None,FRA,Bronze,Nordic Combined Men's Team,Nordic Combined,1998 Winter,1998,Winter,Nagano
205158,None,ITA,Silver,Boxing Men's Heavyweight,Boxing,1932 Summer,1932,Summer,Los Angeles
205160,None,FIN,Gold,Gymnastics Men's Team All-Around,Gymnastics,1948 Summer,1948,Summer,London
205162,None,FIN,Silver,Gymnastics Men's Horse Vault,Gymnastics,1948 Summer,1948,Summer,London
205168,None,FIN,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1952 Summer,1952,Summer,Helsinki
205188,None,GBR,Bronze,Rowing Men's Double Sculls,Rowing,2008 Summer,2008,Summer,Beijing
205204,None,USA,Bronze,Ice Hockey Men's Ice Hockey,Ice Hockey,1936 Winter,1936,Winter,Garmisch-Partenkirchen
205212,None,GBR,Bronze,Athletics Men's 3000 metres Steeplechase,Athletics,1988 Summer,1988,Summer,Seoul
205213,None,AUS,Silver,Baseball Men's Baseball,Baseball,2004 Summer,2004,Summer,Athina
205221,None,AUS,Bronze,Athletics Men's 60 metres,Athletics,1900 Summer,1900,Summer,Paris
205222,None,AUS,Bronze,Athletics Men's 100 metres,Athletics,1900 Summer,1900,Summer,Paris
205223,None,AUS,Bronze,Athletics Men's 200 metres,Athletics,1900 Summer,1900,Summer,Paris
205224,None,AUS,Gold,Athletics Men's 5000 metres Team,Athletics,1900 Summer,1900,Summer,Paris
205225,None,AUS,Bronze,Canoeing Men's Kayak Fours 1000 metres,Canoeing,1992 Summer,1992,Summer,Barcelona
205229,None,GBR,Gold,Cycling Women's Team Pursuit,Cycling,2012 Summer,2012,Summer,London
205230,None,GBR,Gold,Cycling Women's Team Pursuit,Cycling,2016 Summer,2016,Summer,Rio de Janeiro
205248,None,CAN,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1994 Winter,1994,Winter,Lillehammer
205265,None,AUS,Gold,Equestrianism Men's Three-Day Event Team,Equestrianism,1960 Summer,1960,Summer,Roma
205269,None,AUS,Bronze,Equestrianism Mixed Three-Day Event Team,Equestrianism,1968 Summer,1968,Summer,Mexico City
205273,None,AUS,Bronze,Equestrianism Mixed Three-Day Event Team,Equestrianism,1976 Summer,1976,Summer,Montreal
205285,None,AUS,Bronze,Equestrianism Mixed Three-Day Event Team,Equestrianism,1968 Summer,1968,Summer,Mexico City
205287,None,AUS,Bronze,Equestrianism Mixed Three-Day Event Team,Equestrianism,1976 Summer,1976,Summer,Montreal
205298,None,GBR,Silver,Athletics Men's 4 x 100 metres Relay,Athletics,1924 Summer,1924,Summer,Paris
205330,None,URS,Silver,Rowing Women's Coxed Eights,Rowing,1976 Summer,1976,Summer,Montreal
205333,None,FRA,Silver,Equestrianism Mixed Jumping Team,Equestrianism,1968 Summer,1968,Summer,Mexico City
205337,None,FRA,Gold,Equestrianism Mixed Jumping Team,Equestrianism,1976 Summer,1976,Summer,Montreal
205343,None,FRA,Gold,Equestrianism Mixed Jumping Team,Equestrianism,2016 Summer,2016,Summer,Rio de Janeiro
205345,None,TCH,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1948 Winter,1948,Winter,Sankt Moritz
205346,None,RUS,Bronze,Rowing Men's Coxed Eights,Rowing,1996 Summer,1996,Summer,Atlanta
205367,None,POL,Bronze,Handball Men's Handball,Handball,1976 Summer,1976,Summer,Montreal
205382,None,HUN,Silver,Swimming Men's 100 metres Breaststroke,Swimming,1992 Summer,1992,Summer,Barcelona
205383,None,HUN,Silver,Swimming Men's 200 metres Breaststroke,Swimming,1992 Summer,1992,Summer,Barcelona
205386,None,HUN,Gold,Swimming Men's 200 metres Breaststroke,Swimming,1996 Summer,1996,Summer,Atlanta
